Date,Category,Product,Quantity,Revenue
2026-01-01,Clothing,T-Shirt,12,7200
2026-01-02,Clothing,Jeans,8,9600
2026-01-03,Footwear,Sneakers,5,12500
2026-01-04,Accessories,Belt,15,4500
2026-01-05,Clothing,Hoodie,6,8400
2026-01-06,Footwear,Sandals,10,7000
2026-01-07,Accessories,Cap,18,3600
2026-01-08,Clothing,Shirt,14,9800
2026-01-09,Footwear,Sports Shoes,4,14000
2026-01-10,Accessories,Wallet,7,5600
2026-01-11,Clothing,Jacket,3,9000
2026-01-12,Clothing,Trousers,9,8100
2026-01-13,Footwear,Formal Shoes,6,13200
2026-01-14,Accessories,Sunglasses,5,7500
2026-01-15,Clothing,Kurta,11,9900
2026-01-16,Footwear,Slippers,20,6000
2026-01-17,Accessories,Watch,2,10000
2026-01-18,Clothing,Sweatshirt,7,7700
2026-01-19,Footwear,Boots,3,12000
2026-01-20,Accessories,Bag,6,9000
2026-01-21,Clothing,Tank Top,13,5200
2026-01-22,Footwear,Loafers,4,8800
2026-01-23,Accessories,Bracelet,10,3000
2026-01-24,Clothing,Track Pants,8,6400
2026-01-25,Footwear,Running Shoes,5,15000
2026-01-26,Accessories,Scarf,12,4800
2026-01-27,Clothing,Blazer,2,11000
2026-01-28,Footwear,Flip Flops,18,5400
2026-01-29,Accessories,Perfume,4,8000
2026-01-30,Clothing,Denim Jacket,5,12500
