Date,Category,Item,Quantity,Selling Price,Cost Price
01-06-2026,T-Shirts,Basic White Tee,15,499.00,250.00
01-06-2026,Jeans,Classic Blue Denim,5,1299.00,700.00
02-06-2026,T-Shirts,Basic White Tee,20,499.00,250.00
02-06-2026,Accessories,Leather Belt,2,799.00,300.00
03-06-2026,Jackets,Denim Jacket,1,1999.00,1100.00
03-06-2026,T-Shirts,Graphic Tee,10,699.00,350.00
04-06-2026,Jeans,Black Slim Fit,8,1499.00,800.00
04-06-2026,Accessories,Winter Beanie,1,299.00,100.00
05-06-2026,T-Shirts,Basic White Tee,25,499.00,250.00
05-06-2026,Jeans,Classic Blue Denim,7,1299.00,700.00
05-06-2026,T-Shirts,Graphic Tee,12,699.00,350.00
06-06-2026,Jackets,Denim Jacket,2,1999.00,1100.00
06-06-2026,Accessories,Leather Belt,1,799.00,300.00
07-06-2026,Jeans,Black Slim Fit,10,1499.00,800.00
07-06-2026,T-Shirts,Basic White Tee,18,499.00,250.00
