Date,Category,Item,Quantity,Selling Price,Cost Price
26-05-2026,Menswear,Premium Cotton Shirt,15,1299,600
26-05-2026,Womenswear,Designer Kurti,20,999,450
27-05-2026,Accessories,Leather Wallet,12,899,350
27-05-2026,Footwear,Running Sneakers,8,2499,1100
28-05-2026,Menswear,Slim Fit Chinos,10,1499,700
28-05-2026,Womenswear,Silk Saree,3,4500,2200
29-05-2026,Accessories,Polarized Aviators,5,1599,600
29-05-2026,Footwear,Formal Leather Shoes,4,2999,1400
30-05-2026,Menswear,Premium Cotton Shirt,18,1299,600
30-05-2026,Womenswear,Designer Kurti,25,999,450
31-05-2026,Accessories,Leather Wallet,15,899,350
31-05-2026,Footwear,Running Sneakers,10,2499,1100
01-06-2026,Menswear,Slim Fit Chinos,12,1499,700
01-06-2026,Womenswear,Silk Saree,5,4500,2200
02-06-2026,Accessories,Polarized Aviators,8,1599,600
02-06-2026,Footwear,Formal Leather Shoes,6,2999,1400
03-06-2026,Menswear,Premium Cotton Shirt,20,1299,600
03-06-2026,Womenswear,Designer Kurti,30,999,450
04-06-2026,Accessories,Leather Wallet,18,899,350
04-06-2026,Footwear,Running Sneakers,12,2499,1100
05-06-2026,Menswear,Slim Fit Chinos,15,1499,700
05-06-2026,Womenswear,Silk Saree,7,4500,2200
05-06-2026,Accessories,Polarized Aviators,10,1599,600
06-06-2026,Footwear,Formal Leather Shoes,8,2999,1400
