Date,Category,Item,Quantity,Selling Price,Cost Price
01-05-2026,Menswear,Cotton Solid Shirt,15,899,450
01-05-2026,Menswear,Slim Fit Jeans,8,1499,800
01-05-2026,Womenswear,Georgette Saree,3,3500,1800
02-05-2026,Accessories,Leather Belt,12,499,200
02-05-2026,Womenswear,Cotton Floral Kurti,20,799,350
03-05-2026,Winterwear,Denim Jacket,2,2499,1200
03-05-2026,Menswear,Polo T-Shirt,25,599,280
04-05-2026,Womenswear,Palazzo Set,10,1299,650
04-05-2026,Accessories,Sunglasses,5,999,400
05-05-2026,Menswear,Kurta Pajama,7,1899,950
05-05-2026,Menswear,Cotton Solid Shirt,18,899,450
06-05-2026,Womenswear,Silk Saree,1,5500,2800
06-05-2026,Accessories,Wallet,15,699,300
07-05-2026,Winterwear,Hoodie,4,1199,600
07-05-2026,Menswear,Slim Fit Jeans,10,1499,800
08-05-2026,Womenswear,Cotton Floral Kurti,22,799,350
08-05-2026,Menswear,Polo T-Shirt,30,599,280
09-05-2026,Accessories,Leather Belt,14,499,200
09-05-2026,Womenswear,Georgette Saree,4,3500,1800
10-05-2026,Menswear,Kurta Pajama,5,1899,950
10-05-2026,Menswear,Cotton Solid Shirt,12,899,450
11-05-2026,Womenswear,Palazzo Set,8,1299,650
11-05-2026,Winterwear,Denim Jacket,1,2499,1200
12-05-2026,Accessories,Sunglasses,7,999,400
12-05-2026,Womenswear,Cotton Floral Kurti,15,799,350
13-05-2026,Menswear,Slim Fit Jeans,12,1499,800
13-05-2026,Accessories,Wallet,20,699,300
14-05-2026,Womenswear,Silk Saree,2,5500,2800
14-05-2026,Menswear,Polo T-Shirt,18,599,280
15-05-2026,Winterwear,Hoodie,6,1199,600
